2090,QLD,SAMFORD VILLAGE,CALTEX,LOT 31 MT GLORIOUS RD,4520,07 32891410,0,1,0,1,1,0,0,1,1,,1,,1,1,1,No,TRUE,0,1,152.88359,-27.373235
2091,TAS,LONGFORD,CALTEX,25-27 MARLBOROUGH ST,7301,03 63912801,0,1,0,1,0,1,0,0,1,Yes,0,,0,0,1,No,TRUE,0,0,147.121422,-41.597048
2092,QLD,WISHART,CALTEX,590 MT GRAVATT-CAPALABA RD,4122,07 34222722,0,1,0,1,1,0,0,1,1,,1,,1,1,1,No,TRUE,0,1,153.10808,-27.548567
2093,NSW,BEELBANGARA,AMPOL,2-4 RICHARD ST,2680,02 69635242,0,1,0,0,0,1,0,0,0,,0,,0,0,1,No,FALSE,0,1,146.101871,-34.254197
2094,SA,NURIOOTPA,INDEPENDENT,SIEGERSDORF RD,5355,08 85622177,0,0,0,0,0,1,0,0,0,,1,,0,0,0,No,FALSE,0,0,138.996772,-34.50146
2095,WA,GERALDTON,CALTEX,120 FLORES RD,6530,08 99211009,0,1,1,1,0,1,0,0,1,,1,,0,1,0,Yes,TRUE,0,0,114.62842,-28.751408
2096,VIC,SUNBURY,CALTEX,81-87 HORNE STREET,3429,03 97405166,0,1,0,1,1,1,0,1,1,,1,Yes,0,1,1,No,FALSE,0,1,144.723008,-37.58367
2097,QLD,TARA,INDEPENDENT,DAY ST,4421,07 4662 2688,1,1,1,0,0,1,0,0,1,Yes,0,,0,0,0,No,FALSE,0,0,150.451178,-27.276263
2098,NSW,NARELLAN,CALTEX,NARELLAN RD CNR MAXWELL PL,2567,02 46471036,1,1,0,1,1,0,0,1,1,,1,Yes,1,1,1,No,FALSE,0,1,150.743339,-34.039568
2099,NSW,TEMORA,CALTEX,109 HOSKINS STREET,2666,02 69771265,0,1,0,1,1,1,0,0,1,,0,Yes,0,0,1,No,FALSE,0,0,147.532349,-34.44339
2100,SA,STRATHALBYN,CALTEX,34-36 MILNES RD,5255,08 83861055,0,0,0,0,0,1,0,0,0,,1,,0,0,0,Yes,FALSE,0,0,138.895048,-35.268556
